Campaign_Key,Campaign_ID
1,98705a1e-2573-4cb8-983b-2112d4b140c9
2,6b15bf9b-14cc-4ab9-9168-56322057b61e
3,c4de6290-0b01-4646-ba8b-cca498ac1259
4,274ce814-88f3-46f6-8d56-91ecb569f757
5,ed333906-1664-467d-8c42-87569e2e9ec4
6,567c142e-0b89-4161-a241-53ef4fa4aeeb
7,72c522e2-3829-4b52-a625-ccbf643c9c3d
8,1a54902e-36c1-41bb-9933-d60447837809
9,f3ce7528-81fc-476d-9796-e3dae5cd9c43
10,b781cbbc-49cd-4180-9e27-f79adb84f8c9
11,bb93a3a3-0483-4739-9d97-fdb983d0fafa
12,bdca9b4b-9167-4c83-a894-15b58da4ad07
13,9b716197-5c13-4981-ac3d-962eef0bfda5
14,9c254583-a902-4e3a-807c-79524952f9d7
15,795b1730-6a55-49a3-a71f-3f37ae8a68d0
16,aabf5d1a-aa12-43a4-8724-731faf506b88
17,a7b0485a-4632-4a22-bcbf-e21273365846
18,9848e85a-1f32-41ea-9284-ef8c2c556458
19,cd78116a-46a8-4023-bf2e-3f622c04b6b5
20,4b16e35b-15d9-4c74-8886-3e133b94b142
21,528d9316-0006-4f1c-b675-f5a8d49bca8c
22,a003844d-b0a3-4cc8-b0ae-06e07d37bfed
23,2b98d1df-8d4c-481d-be35-fc559e1acbcd
24,10a56673-b54e-4f64-870a-0fbf86323aeb
25,da9a4db5-f67d-4f9b-9ad5-af00da0f5004
26,55a09281-5205-4f39-b8c7-ef179c600d49
27,1a947963-cceb-4d56-a91f-1c0a94f78c32
28,9de1212b-01bd-4b41-a471-961086f0fc28
29,72761721-53af-4ed0-b2f5-519cb8c208c1
30,6671cfa6-bab9-45b3-bc11-6f77195a5d2f
31,8ad0d168-5434-4cd8-a366-f8b16c4f460b
32,e3eb62bf-e76a-4b76-b5e2-cb6060ef823b
33,658b9276-89d2-4441-b9d5-c228928e71d4
34,df92095d-9d24-4465-911e-ead8772eb874
35,9452499d-d8dc-4607-854a-e04f0c577c18
36,2db0493f-268a-4d7c-b248-6cc7c0445dd8
37,c2a7a8ab-e747-4f73-8b23-ff89abb5432a
38,ce4b9278-c9c2-48e1-bc6b-cba20ab9ea9f
39,ff412a92-a52d-4e41-ace9-437518c83fc5
40,0abc6c96-178b-43c4-a279-304120742955
41,93ec3af5-a819-452a-a8ed-772b69db3b94
42,6756bc91-3238-412b-8ce3-49d0c7b4a842
43,2dc557b5-ca3f-4346-8b31-a15bad983935
44,355012af-74f0-4c45-9a8d-afd0114652c7
45,30eed587-f3f8-4ce5-901d-9a83f00247b9
46,a69c6343-5f54-48e1-b784-eee0c9969866
47,de20e322-9b20-4936-bb1a-13f7e685d1a8
48,81736d5a-9871-42c4-8262-4bed68016cdf
49,d3183359-be53-43e7-9f07-4540efd3902e
50,d90962e4-effa-47d6-a0ea-abe8b141e37f
51,680d877d-bad3-4a49-84fc-60d584db0037
52,c924fb14-1070-48f6-8865-e6842e226971
53,4db00c8d-b284-4ddf-a569-7b32059d85af
54,b593a08c-46ef-4a27-8a86-1d26cf7a7ae8
55,02ecf82b-8dea-4e5d-98a9-8b30dadf7833
56,684525f9-0c0a-43f5-ae3e-d04c08f9f0d6
57,82094a98-6740-4307-a690-0b3cdbcff498
58,f835e268-896a-44eb-8f52-db6e604c8500
59,ff167b89-4a3b-44ef-8096-8e4d66664411
60,eb0697bb-dd50-4126-bbef-2fa937a0d293
61,a9135dbd-676e-4a7d-90ff-8f2951e686a8
62,3c42398a-0ca1-4a46-82a5-d41ea25c52e0
63,694e122e-55b6-4c2d-b3f5-289c461245b8
64,07a14f16-344d-4706-b61e-7f454d2dcd6e
65,fd0c8dc6-c4a1-4afd-b4ab-f77ccacc088f
66,54b6ee6f-673a-4096-a5c9-11e484ebb93a
67,4e2c1b3b-ed1a-49bf-be85-8868a8d120dd
68,fb90b771-f7e7-4793-ab9e-a763e3ef7cc8
69,efc312bf-1077-4fc8-9232-a150a0065ffd
70,6423a89f-c485-4da5-a506-116a7def587d
71,816d4546-86d6-4554-93e9-a1f870023652
72,e8fe3e62-5022-4001-a17d-db647e9e232f
73,fe2ad2ee-4b73-4c04-a5bc-0b72ffad7bda
74,792a335e-b5ee-4afe-914e-4cf124accb85
75,eea2d335-6457-4613-9e27-36d72bd2df08
76,f5d82783-65f5-4fe5-b866-f559bca74d22
77,6f04fabe-2070-4de4-b373-22143a783191
78,a9163b87-8733-42f6-b4a9-7077d5a2f91d
79,fd59e938-cec1-4c19-83a3-19b39317cf3c
80,7faec0c3-9063-4980-816b-d21fd88b9471
81,44e2fff2-0d8b-452a-9948-bd7ecc815e69
82,26c5ec99-3757-4971-8c53-fffa62062739
83,ed1706b8-c734-4753-b694-9bcffcc043ca
84,7b2b04b5-e3a5-45ef-a19f-4aadb9e980dc
85,21d96ffe-81d0-4cca-b7a6-9a8fdeaabfdb
86,5d851aad-79a2-4be6-b332-8c26549cf820
87,e24bcacc-1cb1-4a07-89fd-8e231c00b91e
88,700ed5d4-5da7-4a3d-8086-f68b34d94f71
89,6982f872-c9c0-470b-b8a7-0c7d94d47233
90,dca56f62-bcff-49d4-9a22-23f8a2a33e6d
